workerId,category,pair,count,eventCat,event
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,LVC,15,1.0,kindness,advising
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,26,5.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,LVC,11,1.0,utterance,talking
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,34,1000.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,BV,20,50.0,kindness,condoling
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,39,50.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,35,1.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,37,15.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,BV,8,1.0,utterance,scolding
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,35,20.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,filler,27,1.0,filler,filler
2a639b554bd62501f87c6b5e20d325501555fdc3f785133391b622fb,BV,24,2.0,kindness,respecting
6c35253f00166c3421d8bf49d1603c8b0c327ef5c9da87e51254b452,BV,18,1.0,kindness,assuring
6c35253f00166c3421d8bf49d1603c8b0c327ef5c9da87e51254b452,filler,38,6.0,filler,filler
6c35253f00166c3421d8bf49d1603c8b0c327ef5c9da87e51254b452,BV,22,1.0,kindness,recognizing
6c35253f00166c3421d8bf49d1603c8b0c327ef5c9da87e51254b452,filler,26,1.0,filler,filler
6c35253f00166c3421d8bf49d1603c8b0c327ef5c9da87e51254b452,filler,31,1.0,filler,filler
6c35253f00166c3421d8bf49d1603c8b0c327ef5c9da87e51254b452,BV,12,1.0,utterance,speaking
6c35253f00166c3421d8bf49d1603c8b0c327ef5c9da87e51254b452,LVC,1,1.0,contact,kissing
6c35253f00166c3421d8bf49d1603c8b0c327ef5c9da87e51254b452,filler,38,2.0,filler,filler
6c35253f00166c3421d8bf49d1603c8b0c327ef5c9da87e51254b452,filler,33,1.0,filler,filler
6c35253f00166c3421d8bf49d1603c8b0c327ef5c9da87e51254b452,LVC,23,1.0,kindness,supporting
