workerId,list,pair,similarity,event,eventCat,events
NCDOS,3,filler,1,filler,filler,showering -- taking a shower
NCDOS,3,filler,5,filler,filler,jumping -- hopping
NCDOS,3,filler,5,filler,filler,seeing -- experiencing
NCDOS,3,filler,2,filler,filler,growing -- ageing
NCDOS,3,filler,1,filler,filler,repairing -- fixing
NCDOS,2,8,4,speaking,utterance,speaking -- giving a speech
NCDOS,2,9,5,talking,utterance,talking -- giving a talk
NCDOS,2,10,1,presenting,utterance,presenting -- giving a presentation
OFFNJ,2,1,1,thanking,utterance,thanking -- giving thanks
OFFNJ,2,1,1,kissing,contact,kissing -- giving a kiss
OFFNJ,2,2,1,kicking,contact,kicking -- giving a kick
OFFNJ,2,3,1,scolding,utterance,scolding -- giving a scolding
OFFNJ,2,3,1,hugging,contact,hugging -- giving a hug
OFFNJ,2,4,1,lecturing,utterance,lecturing -- giving a lecture
OFFNJ,2,4,1,embracing,contact,embracing -- giving an embrace
OFFNJ,2,5,1,cuddling,contact,cuddling -- giving a cuddle
OFFNJ,2,6,1,poking,contact,poking -- giving a poke
OFFNJ,2,7,1,shaking,contact,shaking -- giving a shake
OFFNJ,2,42,1,advising,kindness,advising -- giving advice
OFFNJ,2,44,1,approving,kindness,approving -- giving approval
OFFNJ,2,46,1,assisting,kindness,assisting -- giving assistance
OFFNJ,2,48,1,assuring,kindness,assuring -- giving assurance
OFFNJ,2,50,1,encouraging,kindness,encouraging -- giving encouragement
OFFNJ,2,52,1,condoling,kindness,condoling -- giving condolences
OFFNJ,2,53,2,addressing,utterance,addressing -- giving an address
OFFNJ,2,54,1,helping,kindness,helping -- giving help
OFFNJ,2,56,1,recognizing,kindness,recognizing -- giving recognition
OFFNJ,2,58,1,supporting,kindness,supporting -- giving support
OFFNJ,3,filler,1,filler,filler,napping -- taking a nap
OFFNJ,3,filler,7,filler,filler,chasing -- searching
